DATE,NEW CISS - Composite Indicator of Systemic Stress. (CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX)
14/11/2016,0.1632
15/11/2016,0.1682
16/11/2016,0.1718
17/11/2016,0.1706
18/11/2016,0.166
21/11/2016,0.1634
22/11/2016,0.174
23/11/2016,0.172
24/11/2016,0.1605
25/11/2016,0.1576
28/11/2016,0.1625
29/11/2016,0.1568
30/11/2016,0.1544
01/12/2016,0.1498
02/12/2016,0.1695
05/12/2016,0.163
06/12/2016,0.1719
07/12/2016,0.1733
08/12/2016,0.1731
09/12/2016,0.1871
12/12/2016,0.1921
13/12/2016,0.1927
14/12/2016,0.2041
15/12/2016,0.2024
16/12/2016,0.1984
19/12/2016,0.2023
20/12/2016,0.1958
21/12/2016,0.1899
22/12/2016,0.1848
23/12/2016,0.1713
26/12/2016,0.1563
27/12/2016,0.1436
28/12/2016,0.1298
29/12/2016,0.1225
30/12/2016,0.1157
02/01/2017,0.1011
03/01/2017,0.108
04/01/2017,0.1017
05/01/2017,0.0995
06/01/2017,0.0997
09/01/2017,0.1017
10/01/2017,0.1031
11/01/2017,0.0993
12/01/2017,0.1001
13/01/2017,0.0933
16/01/2017,0.0946
17/01/2017,0.1038
18/01/2017,0.1037
19/01/2017,0.1037
20/01/2017,0.1021
23/01/2017,0.1051
24/01/2017,0.1008
25/01/2017,0.1018
26/01/2017,0.1008
27/01/2017,0.1011
30/01/2017,0.1032
31/01/2017,0.1056
01/02/2017,0.1099
02/02/2017,0.1201
03/02/2017,0.1202
06/02/2017,0.1303
07/02/2017,0.1338
08/02/2017,0.1405
09/02/2017,0.1289
10/02/2017,0.1199
13/02/2017,0.1091
14/02/2017,0.1038
15/02/2017,0.0969
16/02/2017,0.0928
17/02/2017,0.0892
20/02/2017,0.0859
21/02/2017,0.0792
22/02/2017,0.0795
23/02/2017,0.082
24/02/2017,0.0832
27/02/2017,0.0792
28/02/2017,0.0765
01/03/2017,0.0786
02/03/2017,0.0822
03/03/2017,0.0806
06/03/2017,0.0826
07/03/2017,0.0855
08/03/2017,0.0876
09/03/2017,0.0849
10/03/2017,0.0863
13/03/2017,0.0936
14/03/2017,0.0926
15/03/2017,0.0849
16/03/2017,0.087
17/03/2017,0.0836
20/03/2017,0.0819
21/03/2017,0.0689
22/03/2017,0.0686
23/03/2017,0.0619
24/03/2017,0.0606
27/03/2017,0.0531
28/03/2017,0.051
29/03/2017,0.0521
30/03/2017,0.0522
31/03/2017,0.0518
03/04/2017,0.0605
04/04/2017,0.0699
05/04/2017,0.0709
06/04/2017,0.0724
07/04/2017,0.0721
10/04/2017,0.0646
11/04/2017,0.0545
12/04/2017,0.0552
13/04/2017,0.0487
14/04/2017,0.05
17/04/2017,0.0479
18/04/2017,0.0455
19/04/2017,0.0436
20/04/2017,0.0438
21/04/2017,0.0457
24/04/2017,0.0404
25/04/2017,0.0634
26/04/2017,0.0737
27/04/2017,0.0832
28/04/2017,0.0847
01/05/2017,0.0834
02/05/2017,0.081
03/05/2017,0.0716
04/05/2017,0.0755
05/05/2017,0.0731
08/05/2017,0.0614
09/05/2017,0.0565
10/05/2017,0.0489
11/05/2017,0.0398
12/05/2017,0.0393
15/05/2017,0.0366
16/05/2017,0.0326
17/05/2017,0.0418
18/05/2017,0.0397
19/05/2017,0.0411
22/05/2017,0.038
23/05/2017,0.0315
24/05/2017,0.0244
25/05/2017,0.0194
26/05/2017,0.0193
29/05/2017,0.0174
30/05/2017,0.0149
31/05/2017,0.0118
01/06/2017,0.01
02/06/2017,0.0089
05/06/2017,0.0074
